id	en	mi
home	Home	Kāinga
add_headword	Add&nbsp;Headword	Tāpiria&nbsp;he&nbsp;Kupu&nbsp;Matua
search	Search	Rapua
logout	Logout	E Puta
welcome_to_matapuna	Welcome to the __1__ Freelex lexicography system	Nau mai ki __1__ / Freelex
logged_in_as	You are logged in as __1__	Kua uru atu koe i raro i te ingoa __1__
there_are_n_entries	There are currenty __1__ headwords in __2__ senses.<br>  __3__ entries have been created or updated so far today.	I tēnei wā __1__ ngā kupu matua, __2__ ngā aronga motuhake.<br>E __3__ ngā aronga kupu kua whakairohia, kua whakatikaina rānei i tēnei rā.
choose_option	 	 
for_support	For support or help, you can email __1__ on __2__ or ring __3__.	Ka kitea he tautoko, he āwhina mōu i a __1__, ī-mērahia atu i __2__, waeahia atu rānei i __3__.
dev_system	development system	pūnaha whakahiato
test_system	test system	pūnaha whakamātau
save_entry	Save entry	Puritia tēnei aronga kupu
delete_entry	Delete entry	Ūkuia tēnei aronga kupu
clone_entry	Clone entry	Pūruatia tēnei aronga kupu
binomial	Genus Species	Ingoa Rātini
owned_by	Owned by __1__	Nā __1__
created_by	Created by __1__ on __2__	I whakairohia e __1__ i te __2__
updated_by	Updated by __1__ on __2__	I whakatikaina e __1__ i te __2__
not_owner	You are not the owner of this word	Ehara nāu tēnei kupu
ignore_warnings	Ignore warnings	Kaua e aro ake ki ngā whakatūpato
edit_headword	Edit headword	Ētitahia tēnei kupu matua
has_funny_characters	Has non-Māori characters	He pū kei roto kāore i Māori
has_punctuation_characters	Has punctuation characters	He tohu tuhi kei roto
has_uc_characters	Has UPPER CASE characters	He PŪ MATUA kei roto
is_blank	Is blank	E noho wātea tonu ana
too_few_for_binomial	Has too few words for a binomial	He iti rawa ngā kupu mō te ingoa Rātini
program_error	Program error	Hapa hōtaka
undefined_words	Undefined words	Ngā kupu kāore anō i whakamāoritia
all_headwords	All headwords	Ngā kupu matua katoa
close_window	Close window	Katia te matapihi
search_corpus	Search&nbsp;corpus	Tirohia&nbsp;ngā&nbsp;kohinga&nbsp;kōrero
your_search_produced_matches	Your search for __1__ produced the following __2__ match(es)	E whai ake nei ngā putanga __2__ o te kupu __1__ i kitea
your_search_produced_no_matches	Your search for __1__ produced no matches	Kāore i kitea he kupu rite ki te __1__
corpus_search_results	Corpus search results	Nga hua o te tirotiro kohinga kōrero
